# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0241
_ch0_neuron0,	0.2061
_ch0_neuron0,	0.2521
_ch0_neuron0,	0.3279
_ch0_neuron0,	0.3729
_ch0_neuron0,	0.4260
_ch0_neuron0,	0.4676
_ch0_neuron0,	0.4972
_ch0_neuron0,	0.6214
_ch0_neuron0,	0.6749
_ch0_neuron0,	0.7845
_ch0_neuron0,	0.8451
_ch0_neuron0,	0.8959
_ch0_neuron0,	0.9820
_ch0_neuron0,	1.0012
_ch0_neuron0,	1.0295
_ch0_neuron0,	1.1144
_ch0_neuron0,	1.1800
_ch0_neuron0,	1.3014
_ch0_neuron0,	1.4183
_ch0_neuron0,	1.4317
_ch0_neuron0,	1.4879
_ch0_neuron0,	1.6653
_ch0_neuron0,	1.7131
_ch0_neuron0,	1.8148
_ch0_neuron0,	1.8856
_ch0_neuron0,	1.8922
_ch0_neuron0,	1.9499
_ch0_neuron0,	2.0585
_ch0_neuron0,	2.1275
_ch0_neuron0,	2.2257
_ch0_neuron0,	2.3020
_ch0_neuron0,	2.3992
_ch0_neuron0,	2.4497
_ch0_neuron0,	2.5385
_ch0_neuron0,	2.6193
_ch0_neuron0,	2.6680
_ch0_neuron0,	2.6702
_ch0_neuron0,	2.8879
_ch0_neuron0,	2.9351
_ch0_neuron0,	2.9560
_ch0_neuron0,	3.0013
_ch0_neuron0,	3.1507
_ch0_neuron0,	3.1646
_ch0_neuron0,	3.2060
_ch0_neuron0,	3.2301
_ch0_neuron0,	3.2853
_ch0_neuron0,	3.4417
_ch0_neuron0,	3.4496
_ch0_neuron0,	3.5710
_ch0_neuron0,	3.7453
_ch0_neuron0,	3.8732
_ch0_neuron0,	3.9061
_ch0_neuron0,	3.9741
_ch0_neuron0,	3.9879
_ch0_neuron0,	4.0139
_ch0_neuron0,	4.0783
_ch0_neuron0,	4.1133
_ch0_neuron0,	4.1230
_ch0_neuron0,	4.1580
_ch0_neuron0,	4.2984
_ch0_neuron0,	4.3444
_ch0_neuron0,	4.4275
_ch0_neuron0,	4.4362
_ch0_neuron0,	4.5060
_ch0_neuron0,	4.5688
_ch0_neuron0,	4.6585
_ch0_neuron0,	4.7619
_ch0_neuron0,	4.7861
_ch0_neuron0,	4.7902
_ch0_neuron0,	4.8821
_ch0_neuron0,	4.9495
_ch0_neuron0,	5.0448
_ch0_neuron0,	5.1633
_ch0_neuron0,	5.1998
_ch0_neuron0,	5.2099
_ch0_neuron0,	5.3407
_ch0_neuron0,	5.3967
_ch0_neuron0,	5.4536
_ch0_neuron0,	5.4842
_ch0_neuron0,	5.5353
_ch0_neuron0,	5.6017
_ch0_neuron0,	5.7161
_ch0_neuron0,	5.7869
_ch0_neuron0,	5.7906
_ch0_neuron0,	5.8641
_ch0_neuron0,	5.9249
_ch0_neuron0,	5.9559
_ch0_neuron0,	5.9668
_ch0_neuron0,	5.9956
_ch0_neuron0,	6.0366
_ch0_neuron0,	6.0843
_ch0_neuron0,	6.1297
_ch0_neuron0,	6.1707
_ch0_neuron0,	6.2622
_ch0_neuron0,	6.2888
_ch0_neuron0,	6.3618
_ch0_neuron0,	6.3884
_ch0_neuron0,	6.4226
_ch0_neuron0,	6.4717
_ch0_neuron0,	6.5011
_ch0_neuron0,	6.5479
_ch0_neuron0,	6.5507
_ch0_neuron0,	6.6134
_ch0_neuron0,	6.6206
_ch0_neuron0,	6.6852
_ch0_neuron0,	6.6957
_ch0_neuron0,	6.7037
_ch0_neuron0,	6.7302
_ch0_neuron0,	6.7926
_ch0_neuron0,	6.8255
_ch0_neuron0,	6.8744
_ch0_neuron0,	6.9014
_ch0_neuron0,	6.9236
_ch0_neuron0,	6.9313
_ch0_neuron0,	6.9620
_ch0_neuron0,	6.9911
_ch0_neuron0,	7.0561
_ch0_neuron0,	7.0840
_ch0_neuron0,	7.1147
_ch0_neuron0,	7.1570
_ch0_neuron0,	7.2087
_ch0_neuron0,	7.2346
_ch0_neuron0,	7.2665
_ch0_neuron0,	7.3099
_ch0_neuron0,	7.3385
_ch0_neuron0,	7.3774
_ch0_neuron0,	7.4153
_ch0_neuron0,	7.4475
_ch0_neuron0,	7.4851
_ch0_neuron0,	7.5209
_ch0_neuron0,	7.5838
_ch0_neuron0,	7.5858
_ch0_neuron0,	7.6156
_ch0_neuron0,	7.6522
_ch0_neuron0,	7.6993
_ch0_neuron0,	7.7334
_ch0_neuron0,	7.7649
_ch0_neuron0,	7.8608
_ch0_neuron0,	7.9018
_ch0_neuron0,	7.9424
_ch0_neuron0,	8.0010
_ch0_neuron0,	8.0617
_ch0_neuron0,	8.0897
_ch0_neuron0,	8.1059
_ch0_neuron0,	8.1233
_ch0_neuron0,	8.1581
_ch0_neuron0,	8.1829
_ch0_neuron0,	8.2186
_ch0_neuron0,	8.2349
_ch0_neuron0,	8.2659
_ch0_neuron0,	8.3146
_ch0_neuron0,	8.3506
_ch0_neuron0,	8.4101
_ch0_neuron0,	8.4826
_ch0_neuron0,	8.4952
_ch0_neuron0,	8.5378
_ch0_neuron0,	8.5739
_ch0_neuron0,	8.6049
_ch0_neuron0,	8.6613
_ch0_neuron0,	8.6802
_ch0_neuron0,	8.6881
_ch0_neuron0,	8.6968
_ch0_neuron0,	8.7389
_ch0_neuron0,	8.7668
_ch0_neuron0,	8.7940
_ch0_neuron0,	8.8470
_ch0_neuron0,	8.8976
_ch0_neuron0,	8.9026
_ch0_neuron0,	8.9293
_ch0_neuron0,	9.0059
_ch0_neuron0,	9.0634
_ch0_neuron0,	9.0959
_ch0_neuron0,	9.1401
_ch0_neuron0,	9.1738
_ch0_neuron0,	9.2508
_ch0_neuron0,	9.2861
_ch0_neuron0,	9.3464
_ch0_neuron0,	9.3713
_ch0_neuron0,	9.4188
_ch0_neuron0,	9.4533
_ch0_neuron0,	9.4605
_ch0_neuron0,	9.4968
_ch0_neuron0,	9.5327
_ch0_neuron0,	9.5585
_ch0_neuron0,	9.6257
_ch0_neuron0,	9.6508
_ch0_neuron0,	9.6732
_ch0_neuron0,	9.6898
_ch0_neuron0,	9.8011
_ch0_neuron0,	9.8312
_ch0_neuron0,	9.8522
_ch0_neuron0,	9.9095
_ch0_neuron0,	9.9372
_ch0_neuron0,	10.0060
_ch0_neuron0,	10.0348
_ch0_neuron0,	10.0376
_ch0_neuron0,	10.1393
_ch0_neuron0,	10.2170
_ch0_neuron0,	10.2552
_ch0_neuron0,	10.3649
_ch0_neuron0,	10.3662
_ch0_neuron0,	10.4007
_ch0_neuron0,	10.4060
_ch0_neuron0,	10.4474
_ch0_neuron0,	10.4930
_ch0_neuron0,	10.5435
_ch0_neuron0,	10.6059
_ch0_neuron0,	10.6248
_ch0_neuron0,	10.6393
_ch0_neuron0,	10.6999
_ch0_neuron0,	10.7969
_ch0_neuron0,	10.8615
_ch0_neuron0,	10.9324
_ch0_neuron0,	10.9935
_ch0_neuron0,	11.1332
_ch0_neuron0,	11.2137
_ch0_neuron0,	11.3304
_ch0_neuron0,	11.3885
_ch0_neuron0,	11.4117
_ch0_neuron0,	11.4156
_ch0_neuron0,	11.4774
_ch0_neuron0,	11.5336
_ch0_neuron0,	11.5520
_ch0_neuron0,	11.6295
_ch0_neuron0,	11.6996
_ch0_neuron0,	11.7658
_ch0_neuron0,	11.7880
_ch0_neuron0,	11.9332
_ch0_neuron0,	11.9523
_ch0_neuron0,	12.0003
_ch0_neuron0,	12.0283
_ch0_neuron0,	12.0688
_ch0_neuron0,	12.1351
_ch0_neuron0,	12.2101
_ch0_neuron0,	12.2754
_ch0_neuron0,	12.2783
_ch0_neuron0,	12.3527
_ch0_neuron0,	12.4146
_ch0_neuron0,	12.4730
_ch0_neuron0,	12.4784
_ch0_neuron0,	12.5241
_ch0_neuron0,	12.5773
_ch0_neuron0,	12.6652
_ch0_neuron0,	12.7007
_ch0_neuron0,	12.7628
_ch0_neuron0,	12.8329
_ch0_neuron0,	12.8753
_ch0_neuron0,	12.9333
_ch0_neuron0,	13.0748
_ch0_neuron0,	13.1102
_ch0_neuron0,	13.1230
_ch0_neuron0,	13.1632
_ch0_neuron0,	13.2247
_ch0_neuron0,	13.2866
_ch0_neuron0,	13.3387
_ch0_neuron0,	13.4093
_ch0_neuron0,	13.4985
_ch0_neuron0,	13.5334
_ch0_neuron0,	13.5875
_ch0_neuron0,	13.6332
_ch0_neuron0,	13.7614
_ch0_neuron0,	13.8755
_ch0_neuron0,	13.8849
_ch0_neuron0,	13.9218
_ch0_neuron0,	13.9503
_ch0_neuron0,	14.0043
_ch0_neuron0,	14.0244
_ch0_neuron0,	14.0792
_ch0_neuron0,	14.1094
_ch0_neuron0,	14.1636
_ch0_neuron0,	14.2086
_ch0_neuron0,	14.2923
_ch0_neuron0,	14.3769
_ch0_neuron0,	14.4147
_ch0_neuron0,	14.4655
_ch0_neuron0,	14.4824
_ch0_neuron0,	14.5161
_ch0_neuron0,	14.6356
_ch0_neuron0,	14.7511
_ch0_neuron0,	14.8152
_ch0_neuron0,	14.8598
_ch0_neuron0,	14.9291
_ch0_neuron0,	14.9720
_ch0_neuron0,	15.0083
_ch0_neuron0,	15.0103
_ch0_neuron0,	15.0416
_ch0_neuron0,	15.0957
_ch0_neuron0,	15.1358
_ch0_neuron0,	15.2209
_ch0_neuron0,	15.2352
_ch0_neuron0,	15.2683
_ch0_neuron0,	15.4073
_ch0_neuron0,	15.5242
_ch0_neuron0,	15.5958
_ch0_neuron0,	15.6654
_ch0_neuron0,	15.7795
_ch0_neuron0,	15.7954
_ch0_neuron0,	15.8460
_ch0_neuron0,	15.8896
_ch0_neuron0,	15.9230
_ch0_neuron0,	15.9384
_ch0_neuron0,	15.9703
_ch0_neuron0,	16.0358
_ch0_neuron0,	16.0776
_ch0_neuron0,	16.0885
_ch0_neuron0,	16.0991
_ch0_neuron0,	16.1215
_ch0_neuron0,	16.1383
_ch0_neuron0,	16.1426
_ch0_neuron0,	16.1633
_ch0_neuron0,	16.2021
_ch0_neuron0,	16.2095
_ch0_neuron0,	16.2135
_ch0_neuron0,	16.2199
_ch0_neuron0,	16.2616
_ch0_neuron0,	16.2911
_ch0_neuron0,	16.3190
_ch0_neuron0,	16.3289
_ch0_neuron0,	16.3375
_ch0_neuron0,	16.3466
_ch0_neuron0,	16.3667
_ch0_neuron0,	16.3678
_ch0_neuron0,	16.4082
_ch0_neuron0,	16.4492
_ch0_neuron0,	16.4572
_ch0_neuron0,	16.4637
_ch0_neuron0,	16.4858
_ch0_neuron0,	16.5932
_ch0_neuron0,	16.6166
_ch0_neuron0,	16.6284
_ch0_neuron0,	16.6582
_ch0_neuron0,	16.6951
_ch0_neuron0,	16.7293
_ch0_neuron0,	16.7747
_ch0_neuron0,	16.8493
_ch0_neuron0,	16.8929
_ch0_neuron0,	16.9351
_ch0_neuron0,	16.9763
_ch0_neuron0,	17.0156
_ch0_neuron0,	17.0994
_ch0_neuron0,	17.1551
_ch0_neuron0,	17.1980
_ch0_neuron0,	17.2296
_ch0_neuron0,	17.2688
_ch0_neuron0,	17.2941
_ch0_neuron0,	17.3427
_ch0_neuron0,	17.3689
_ch0_neuron0,	17.3987
_ch0_neuron0,	17.4373
_ch0_neuron0,	17.4677
_ch0_neuron0,	17.5297
_ch0_neuron0,	17.5600
_ch0_neuron0,	17.6837
_ch0_neuron0,	17.7107
_ch0_neuron0,	17.7353
_ch0_neuron0,	17.7688
_ch0_neuron0,	17.8090
_ch0_neuron0,	17.8406
_ch0_neuron0,	17.9123
_ch0_neuron0,	17.9491
_ch0_neuron0,	17.9749
_ch0_neuron0,	18.0390
_ch0_neuron0,	18.0867
_ch0_neuron0,	18.1447
_ch0_neuron0,	18.1638
_ch0_neuron0,	18.1752
_ch0_neuron0,	18.2031
_ch0_neuron0,	18.2141
_ch0_neuron0,	18.2501
_ch0_neuron0,	18.2908
_ch0_neuron0,	18.3154
_ch0_neuron0,	18.3272
_ch0_neuron0,	18.4091
_ch0_neuron0,	18.4757
_ch0_neuron0,	18.5117
_ch0_neuron0,	18.5621
